1,   , ,36,33,30,27,24,21,18,15,12,9,6,3
45,15,6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,12(6)
45,20,6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,6(3),16(8)
45,25,5,  ,  ,  ,  ,  ,  ,  ,  ,3(2),9(5),15(8),18(9)
45,35,5,  ,  ,  ,  ,  ,  ,  ,  ,11(6),16(8),20(10),23(12)
45,45,4,  ,  ,  ,  ,  ,  ,  ,10(5),17(9),22(11),25(13),29(15)
45,60,3,  ,  ,  ,  ,  ,11,13,17(9),20(10),24(12),30(15),37(19)
45,80,3,  ,  ,  ,  ,14,15,16,18(9),19(10),25(13),38(19),52(26)
45,105,2,  ,  ,13,15,16,19,20,32(16),48(24),59(30),86(43),113(57)
48,5,7,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
48,10,6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2(1)
48,15,6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,3(2),12(6)
48,20,6,  ,  ,  ,  ,  ,  ,  ,  ,  ,4(2),7(4),17(9)
48,25,5,  ,  ,  ,  ,  ,  ,  ,  ,6(3),10(5),16(8),20(10)
48,35,5,  ,  ,  ,  ,  ,  ,  ,6(3),15(8),18(9),22(11),29(14)
48,45,4,  ,  ,  ,  ,  ,4,12,15(8),19(10),23(12),26(13),33(17)
48,60,3,  ,  ,  ,1,8,12,16,18(9),21(11),26(13),37(19),44(22)
48,80,3,  ,  ,  ,11,13,16,19,21(11),23(12),38(19),49(25),66(33)
48,105,3,  ,12,14,16,17,19,22,40(20),56(28),72(36),96(48),130(65)
51,5,7,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
51,10,7,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,5(3)
51,15,6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,9(5),14(7)
51,20,6,  ,  ,  ,  ,  ,  ,  ,  ,5(3),8(4),12(6),18(9)
51,25,6,  ,  ,  ,  ,  ,  ,  ,  ,10(5),13(7),18(9),21(11)
51,35,5,  ,  ,  ,  ,  ,  ,  ,12(6),19(10),20(10),24(12),31(16)
51,45,4,  ,  ,  ,  ,  ,10,13,14(7),22(11),27(14),30(15),39(20)
51,60,3,  ,  ,  ,10,12,14,17,21(11),24(12),35(18),39(20),49(25)
51,80,3,  ,11,13,14,15,19,22,29(15),38(19),56(28),80(40),111(56)
54,5,8,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
54,10,7,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,7(4)
54,15,7,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,10(5),17(9)
54,20,6,  ,  ,  ,  ,  ,  ,  ,  ,7(4),10(5),14(7),18(9)
54,25,6,  ,  ,  ,  ,  ,  ,  ,4(2),11(6),13(7),19(10),22(11)
54,35,5,  ,  ,  ,  ,  ,  ,11,14(7),17(9),21(11),29(15),39(20)
54,45,4,  ,  ,  ,  ,8,12,17,19(10),22(11),31(16),37(19),47(24)
54,60,4,  ,  ,6,12,14,16,20,23(12),27(14),37(19),48(24),65(33)
54,80,3,12,13,14,14,16,21,26,32(16),42(21),62(31),92(46),124(62)
57,5,8,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
57,10,7,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1(1),10(5)
57,15,7,  ,  ,  ,  ,  ,  ,  ,  ,  ,4(2),11(6),18(9)
57,20,6,  ,  ,  ,  ,  ,  ,  ,  ,10(5),12(6),16(8),19(10)
57,25,5,  ,  ,  ,  ,  ,  ,  ,9(5),12(6),14(7),20(10),24(12)
57,35,5,  ,  ,  ,  ,  ,8,13,15(8),18(9),24(12),34(17),43(22)
57,45,4,  ,  ,  ,7,12,14,18,21(11),26(13),35(18),44(22),56(28)
57,60,3,  ,14,15,17,18,23,28,34(17),42(21),64(32),79(40),93(47)
60,5,9,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
60,10,8,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,3(2),11(6)
60,15,7,  ,  ,  ,  ,  ,  ,  ,  ,  ,7(4),12(6),19(10)
60,20,6,  ,  ,  ,  ,  ,  ,  ,4(2),10(5),13(7),15(8),20(10)
60,25,6,  ,  ,  ,  ,  ,  ,4,10(5),14(7),16(8),22(11),24(12)
60,35,5,  ,  ,  ,  ,  ,12,15,16(8),19(10),28(14),40(20),52(26)
60,45,5,  ,  ,  ,12,14,18,20,24(12),29(15),39(20),48(24),60(30)
60,60,4,13,15,16,17,19,26,32,39(20),49(25),70(35),90(45),105(53)
